139.162.79.87 - - [16/Mar/2018:03:12:30 -0300] "GET / HTTP/1.1" 404 -
54.37.0.232 - - [16/Mar/2018:07:24:48 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [16/Mar/2018:07:24:49 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [16/Mar/2018:07:53:50 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:38 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:38 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:39 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:39 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:39 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:39 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:39 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:40 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:40 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:40 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:40 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:40 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:41 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:41 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:41 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:41 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:42 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:42 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:42 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:43 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:43 -0300] "GET / HTTP/1.1" 404 -
54.37.0.216 - - [16/Mar/2018:09:47:43 -0300] "GET / HTTP/1.1" 404 -
83.83.219.149 - - [16/Mar/2018:10:07:16 -0300] "GET / HTTP/1.0" 404 -
163.172.168.251 - - [16/Mar/2018:11:01:30 -0300] "GET / HTTP/1.1" 404 -
163.172.149.131 - - [16/Mar/2018:14:25:16 -0300] "GET / HTTP/1.1" 404 -
31.207.47.94 - - [16/Mar/2018:14:27:48 -0300] "-" 400 -
163.172.168.251 - - [16/Mar/2018:15:31:13 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [16/Mar/2018:16:25:37 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [16/Mar/2018:16:35:20 -0300] "GET / HTTP/1.1" 404 -
212.47.244.68 - - [16/Mar/2018:17:39:55 -0300] "GET / HTTP/1.1" 404 -
163.172.168.251 - - [16/Mar/2018:18:08:16 -0300] "GET / HTTP/1.1" 404 -
23.21.152.7 - - [16/Mar/2018:19:26:21 -0300] "-" 400 -
34.205.14.133 - - [16/Mar/2018:19:26:21 -0300] "-" 400 -
94.102.49.193 - - [16/Mar/2018:19:30:01 -0300] "GET / HTTP/1.1" 404 -
94.102.49.193 - - [16/Mar/2018:19:30:09 -0300] "GET /robots.txt HTTP/1.1" 404 -
94.102.49.193 - - [16/Mar/2018:19:30:14 -0300] "GET /sitemap.xml HTTP/1.1" 404 -
5.188.10.146 - - [16/Mar/2018:20:07:18 -0300] "-" 400 -
5.188.10.146 - - [16/Mar/2018:20:07:19 -0300] "-" 400 -
66.240.205.34 - - [16/Mar/2018:20:38:40 -0300] "GET / HTTP/1.1" 404 -
66.240.205.34 - - [16/Mar/2018:20:38:40 -0300] "GET /robots.txt HTTP/1.1" 404 -
66.240.205.34 - - [16/Mar/2018:20:38:41 -0300] "GET /sitemap.xml HTTP/1.1" 404 -
66.240.205.34 - - [16/Mar/2018:20:38:41 -0300] "GET /.well-known/security.txt HTTP/1.1" 404 -
212.47.227.163 - - [16/Mar/2018:22:36:14 -0300] "GET / HTTP/1.1" 404 -
